23205905	RECEIVE_ECHONET_PROPERTY_VALUE	0x000702	0xb1	0x0000	0x000000	0x000042
51179617	RECEIVE_ECHONET_PROPERTY_VALUE	0x029001	0xff	0x0000	0x000000	0x000031
51190158	RECEIVE_ECHONET_PROPERTY_VALUE	0x029001	0xff	0x0000	0x000000	0x000031
51200547	RECEIVE_ECHONET_PROPERTY_VALUE	0x029001	0xff	0x0000	0x000000	0x000031
51210939	RECEIVE_ECHONET_PROPERTY_VALUE	0x029001	0xff	0x0000	0x000000	0x000031
51211231	STARTUP_COUNT_DEVICE	0x0015c6	0x00	0x0000	0x000000	0x000000
51221549	RECEIVE_ECHONET_PROPERTY_VALUE	0x029001	0xff	0x0000	0x000000	0x000031
51232054	RECEIVE_ECHONET_PROPERTY_VALUE	0x029001	0xff	0x0000	0x000000	0x000031
52303025	RECEIVE_ECHONET_PROPERTY_VALUE	0x029001	0xff	0x0000	0x000000	0x000031
52323628	RECEIVE_ECHONET_PROPERTY_VALUE	0x029001	0xff	0x0000	0x000000	0x000031
52344266	RECEIVE_ECHONET_PROPERTY_VALUE	0x029001	0xff	0x0000	0x000000	0x000031
52375037	RECEIVE_ECHONET_PROPERTY_VALUE	0x029001	0xff	0x0000	0x000000	0x000031
64252771	START_COMMAND_READ_FROM_CHIPTOOL	0x000000	0x00	0x0006	0x000000	0x000000
64252891	START_SEND_READ_COMMAND_TO_ECHONET_DEVICE	0x029001	0x80	0x0006	0x000000	0x000000
64252913	END_COMMAND_READ_FROM_CHIPTOOL	0x000000	0x00	0x0006	0x000000	0x000001
64252944	START_COMMAND_WRITE_FROM_CHIPTOOL	0x029001	0x00	0x0006	0x000000	0x000000
64253046	START_SEND_WRITE_COMMAND_TO_ECHONET_DEVICE	0x029001	0x80	0x0290	0x000001	0x000031
64253066	END_COMMAND_WRITE_FROM_CHIPTOOL	0x029001	0x00	0x0006	0x000000	0x000000
64348572	RECEIVE_ECHONET_PROPERTY_VALUE	0x029001	0x80	0x0006	0x000000	0x000030
64674757	RECEIVE_ECHONET_PROPERTY_VALUE	0x029001	0x80	0x0006	0x000000	0x000031
93145979	START_COMMAND_READ_FROM_CHIPTOOL	0x000000	0x00	0x0006	0x000000	0x000000
93146117	START_SEND_READ_COMMAND_TO_ECHONET_DEVICE	0x029001	0x80	0x0006	0x000000	0x000000
93146146	END_COMMAND_READ_FROM_CHIPTOOL	0x000000	0x00	0x0006	0x000000	0x000000
93146181	START_COMMAND_WRITE_FROM_CHIPTOOL	0x029001	0x00	0x0006	0x000000	0x000001
93146244	START_SEND_WRITE_COMMAND_TO_ECHONET_DEVICE	0x029001	0x80	0x0290	0x000001	0x000030
93146268	END_COMMAND_WRITE_FROM_CHIPTOOL	0x029001	0x00	0x0006	0x000000	0x000001
93253772	RECEIVE_ECHONET_PROPERTY_VALUE	0x029001	0x80	0x0006	0x000000	0x000031
